CREA-GO  |  Mapeamento de Assuntos do MED → Tabela de Temporalidade e Destinação (TTDD),,,,,,,,,
Versão de referência TTDD: Atividades-Meio (2024) e Atividades-Fim (2019)  |  Elaborado por: Erica Aihara — DPO/CREA-GO  |  Versão 3 — Março 2026,,,,,,,,,
ASSUNTO (MED),"CÓDIGO
TTDD","TABELA
(Meio/Fim)",DESCRITOR TTDD,PRAZO CORRENTE,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DO INTERMEDIÁRIO",PRAZO INTERMEDIÁRIO,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DA ELIMINAÇÃO",DESTINAÇÃO FINAL,OBSERVAÇÃO / VALIDAÇÃO DPO
Acordo de Cooperação,122,Fim,ARTICULAÇÕES POLÍTICAS,04 anos a partir do encerramento definitivo,Data de envio ao arquivo digital (escaninho padrão),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Prazo corrente contado a partir do envio ao arquivo digital. Total: 14 anos.
Acordo de Cooperação Técnica,122,Fim,ARTICULAÇÕES POLÍTICAS,04 anos a partir do encerramento definitivo,Data de encerramento definitivo (sem renovação),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Acordo não efetivado segue prazo padrão de 14 anos, sem previsão expressa de prazo reduzido."
Aditivo Contratual,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Prazo corrente encerra com aprovação do RG pelo Plenário do exercício. Intermediário: 10 anos (Recomendação AN 3/2020, Anexo I)."
Aditivo Contratual– Processo em diligência,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Data de envio ao escaninho 'arquivo digital – em diligência',Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Prazo corrente encerra com aprovação do RG pelo Plenário do exercício. Intermediário: 10 anos (Recomendação AN 3/2020, Anexo I)."
Alteração Contratual,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Solicitações indeferidas: eliminar após 7 anos (TTDD Fim, p. 37)."
Alteração Contratual – Processo em diligência,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,07 anos,Data de envio ao escaninho 'arquivo digital – em diligência',–,–,Eliminação,DTI deve criar escaninho específico. Prazo contado da data de envio ao escaninho.
Alteração de Carga Horária,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,52 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,ART deferida: 52 anos. Indeferida: 1 ano.
Alteração de Carga Horária – Processo em diligência,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,01 ano,Data de envio ao escaninho 'arquivo digital – em diligência',–,–,Eliminação,DTI deve criar escaninho específico. Prazo contado da data de envio ao escaninho.
Alteração de dado cadastral de contato,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Alteração de Dados Cadastrais,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Alteração de Dados em Visto de Pessoa Jurídica,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Alteração de Registro Nível Médio p/ Superior,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Alteração PCA - Ano Elaboração,052.1,Meio,PROGRAMAÇÃO FINANCEIRA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Alteração PCA - Ano Execução,052.1,Meio,PROGRAMAÇÃO FINANCEIRA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Análise de ART,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Prazo padrão sem fins previdenciários. Com valor previdenciário: 52 anos.
Apresentação de Defesa,322,Fim,DESCUMPRIMENTO DE OUTROS DISPOSITIVOS LEGAIS,Até a conclusão administrativa ou trânsito em julgado,Data de conclusão/trânsito em julgado do processo,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Apresentação de Diploma,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
