"departamento";"Nome_Departamento";"usuario";"Escaninho";"QuantidadeProcessos"
"5010";"Arquivo Contabilidade";"arquivo_contabil";"ARQUIVO LOCAL CONTABILIDADE";"6324"
"5002";"Arquivo Digital";"arquivo";"ARQUIVADO DIGITALMENTE";"594358"
"5011";"Arquivo Execução Fiscal";"arquivo_execucao";"ARQUIVO EXECUÇÃO FISCAL";"347"
"5011";"Arquivo Execução Fiscal";"juntadadocumentos";"JUNTADA DE DOCUMENTOS - EXECUÇÃO FISCAL";"0"
"5012";"Arquivo Termos Parcelamento";"arquivo_termos";"ARQUIVO TERMOS DE PARCELAMENTO";"14158"
"5014";"Arquivo Veracidade Registro";"arquivo_registro";"ARQUIVO LOCAL REGISTRO";"2263"
"5066";"CONFEA";"confea";"ESC. - CONFEA";"127"
"5066";"CONFEA";"esc_plen_confea";"ESC. - RECURSO AO CONFEA";"7"
"5004";"Montagem Física";"processo_fisico";"MONTADO FISICAMENTE";"2314"
"5051";"Requerimentos OnLine";"esc_proc_dilig";"ESC. - ENCAMINHAMENTO DE PROCESSOS EM DILIGENCIA";"811"
"11";"Sede - Acervo";"arquivo_acervo";"ARQUIVO - AGUARDANDO ANEXAR PDF";"0"
"11";"Sede - Acervo";"esc_acervo_agrodefes";"ESC. - ACERVO - AGRODEFESA";"0"
"11";"Sede - Acervo";"esc_boleto_cargofunc";"ESC. - ACERVO - AGUARD. GERAR BOLETO CARGO/FUNÇÃO";"3"
"11";"Sede - Acervo";"esc_pagto_cargofunc";"ESC. - ACERVO - AGUARD. PAGTO BOLETO CARGO/FUNÇÃO";"92"
"11";"Sede - Acervo";"esc_acervo_analise";"ESC. - ACERVO - ANÁLISE DE ART";"45"
"11";"Sede - Acervo";"esc_acervo_certidoes";"ESC. - ACERVO - CERTIDÕES ACERVO";"1"
"11";"Sede - Acervo";"escaninho_dilig";"ESC. - ACERVO - E-MAIL DILIGÊNCIA";"45"
"11";"Sede - Acervo";"esc_acervo_oficios";"ESC. - ACERVO - OFÍCIOS AGUARDANDO AR";"72"
"11";"Sede - Acervo";"esc_acervo_p_arquiv";"ESC. - ACERVO - PARA ARQUIVAMENTO";"16"
"11";"Sede - Acervo";"esc_acervo_env_ofic";"ESC. - ACERVO - PARA ENVIAR OFICIO";"0"
"11";"Sede - Acervo";"acervo_ret_camara";"ESC. - ACERVO - RETORNO CÂMARAS";"4"
"5049";"Sede - Acervo CATs";"emissao_cat";"ESC. - CATS AGUARDANDO EMISSãO";"1"
"5020";"Sede - Acomp. de Infrações";"esc_reenv_mul_mant";"ESC. - AAI -  MULTA MANTIDA - CORRESP REENVIADA";"498"
"5020";"Sede - Acomp. de Infrações";"escaninho_auto_doc";"ESC. - AAI - AUTO - AG. DOCUMENTAÇÃO";"1"
"5020";"Sede - Acomp. de Infrações";"escaninho_cons";"ESC. - AAI - AUTO - AGUARDANDO CONSULTAS";"1606"
"5020";"Sede - Acomp. de Infrações";"escaninho_auto";"ESC. - AAI - AUTO - AGUARDANDO DEFESA";"2348"
"5020";"Sede - Acomp. de Infrações";"escaninho_corresp";"ESC. - AAI - AUTO - CORRESP DEVOLVIDA ";"5018"
"5020";"Sede - Acomp. de Infrações";"escaninho_reenv";"ESC. - AAI - AUTO - CORRESP REENVIADA";"2065"
"5020";"Sede - Acomp. de Infrações";"escaninho_aextra_def";"ESC. - AAI - AVISO EXTRAJUDICIAL -DEFESA";"0"
