"Grupo","Codigo_Sugerido","Descricao_Codigo","Prazo_Resumo","Assuntos_do_Grupo","Quantidade_Assuntos","Sugestao_Padronizacao","Observacao"
"G01","122","ARTICULAÇÕES POLÍTICAS (TTDD Conselhos)","04 anos + 10 anos = 14 anos | Eliminação","Acordo de Cooperação | Acordo de Cooperação Técnica","2","Unificar como 'Acordo de Cooperação' com subtipo (Técnica/Institucional)","Confirmado pela DPO. Prazo CREA-GO: 4+10=14 anos, Eliminação."
"G02","203","CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS (TTDD Conselhos)","Enquanto existir + 05 anos após extinção | Eliminação","Cadastro de Instituição de Ensino e Cursos | Cadastro ou Recadastramento de Curso | Cadastro ou Recadastramento de Instituição de Ensino","3","Unificar como 'Cadastro/Recadastramento de Instituição de Ensino e Cursos'","Código 203 confirmado para os 3 assuntos. ATENÇÃO: Registro de Entidade/IES para Indicação de Conselheiro migrou para G11 (código 403)."
"G03","221.1","SOLICITAÇÃO DE REGISTRO/ALTERAÇÕES DE PESSOA JURÍDICA (TTDD Conselhos)","Enquanto ativo + 15 anos | Eliminação","Cadastro de Pessoa Juridica | Cadastro de Representante Legal da Pessoa Jurídica | Registro de Consórcio para Licitação","3","Unificar como 'Cadastro/Registro de Pessoa Jurídica' com campo de subtipo","CORREÇÃO DPO: Representante Legal PJ → 221.1 (era 221.2). Consórcio para Licitação → 221.1 (era 221.2). Todos agora em 221.1."
"G04","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA (TTDD Conselhos)","Enquanto vigora + 06 anos (52 anos previdenciário) | Eliminação","Inclusao de RT Por Pessoa Juridica | Inclusao de RT a Pedido da Empresa | Inclusão de Responsavel Tecnico/Integrante | Registro de ART com isenção de Taxa por Decisão Judicial p/ Servidores Públicos Estaduais","4","Unificar como 'Inclusão de Responsável Técnico' com campo para tipo de solicitante","CORREÇÃO DPO: Inclusão RT PJ e RT a Pedido Empresa → 241 (eram 221.1 e 243.1). Todos os 4 assuntos = emissão de ART/RT → 241."
"G05","243.1","SOLICITAÇÃO DE BAIXA DE RESPONSABILIDADE TÉCNICA (TTDD Conselhos)","01 ano + 06 anos | Eliminação","Baixa de RT Por Pessoa Juridica","1","Padronizar como 'Baixa de Responsabilidade Técnica - PJ'","Confirmado pela DPO. Código 243.1."
"G06","232","EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL (TTDD Conselhos)","01 ano + 05 anos | Eliminação","Expedição de Carteira Definitiva | Expedição de Carteira Provisória | Certidão de Registro e Quitação","3","Unificar como 'Expedição de Documento de Identificação Profissional' com campo para tipo","CORREÇÃO DPO: Certidão de Registro e Quitação → 232 (era 212.3). Documentos de identificação profissional emitidos pelo CREA."
"G07","212.1 / 212.3","REGISTRO / CANCELAMENTO DE REGISTRO PROFISSIONAL (TTDD Conselhos)","212.1: Enquanto ativo + 15 anos | 212.3: Até conclusão + 15 anos | Eliminação","Interrupção de Visto de Profissional | Visto em Registro de Profissional - RU","2","Visto RU (registro de profissional estrangeiro) → 212.1. Interrupção de Visto → 212.3","CORREÇÃO DPO: Visto em Registro - RU → 212.1 (era 212.3). Interrupção de Visto → mantém 212.3 como cancelamento temporário."
"G08","311","INSPEÇÃO PERIÓDICA / VERIFICAÇÃO DE CONFORMIDADE (TTDD Conselhos)","01 ano + 05 anos | Eliminação","Fiscalização de Atestado | Vistoria Cautelar","2","Manter separados. Ambos = 311 (inspeção periódica)","Confirmado pela DPO. Fiscalização de Atestado e Vistoria Cautelar = 311."
"G09","122","ARTICULAÇÕES POLÍTICAS (TTDD Conselhos)","04 anos + 10 anos | Eliminação","Nomeação/Destituição de Inspetor - Assessoria Institucional/Interior | Nomeação/Destituição de Representante Municipal do Crea-GO - Assessoria Institucional/Interior","2","Unificar como 'Nomeação/Destituição de Representante Institucional' com campo para tipo","CORREÇÃO DPO: ambos → 122 (eram 212.1). Nomeações institucionais = articulações políticas. Prazo: 4+10 anos."
"G10","002.11 / 018.1 / 051.1 / 422","ASSUNTOS COM TTDD MEIO OU ANÁLISE ESPECIAL","Variável — ver observações por assunto","N | S | Diversos | Aditivo Contratual | Proposta de Transposição Orçamentaria | Patrocínio - Cadastro do Responsável Pelo Projeto","6","N, S, Diversos → 002.11 (TTDD Meio). Aditivo Contratual → 018.1 (TTDD Meio). Proposta Transposição → 051.1 (TTDD Meio). Patrocínio → 422.","CORREÇÃO DPO: N, S, Diversos → 002.11 (2 anos, Guarda Permanente). Proposta Transposição → 051.1 (5+5 anos, Guarda Permanente). Aditivo e Patrocínio mantidos."
"G11","403","CREDENCIAMENTO DE PROFISSIONAIS E INSTITUIÇÕES (TTDD Conselhos)","Até cancelamento do credenciamento + 10 anos | Eliminação","Registro de Entidade de Classe/Instituição de Ensino para Indicação de Conselheiro | Revisão de registro de Entidade de Classe/Instituição de Ensino para indicação de conselheiro","2","Unificar como 'Credenciamento de Entidade/IES para Indicação de Conselheiro'","CORREÇÃO DPO: ambos → 403 (eram 203). Registro de entidade para indicação de conselheiro = credenciamento institucional, não simples cadastro de IES."
