"Assunto_MED","Escaninho","Sugestao_1_Codigo","Sugestao_1_Descricao","Sugestao_1_Prazo_Corrente","Sugestao_1_Prazo_Intermediario","Sugestao_1_Destinacao","Sugestao_1_Confianca","Sugestao_2_Codigo","Sugestao_2_Descricao","Sugestao_2_Confianca","Sugestao_3_Codigo","Sugestao_3_Descricao","Sugestao_3_Confianca","Justificativa","Grupo_Similar","Codigo_Final","Observacoes_DPO","Status_Validacao","Aba_Destino"
"Acordo de Cooperação","Sede - Diretoria","122","ARTICULAÇÕES POLÍTICAS","04 anos a partir do encerramento definitivo","10 anos","Eliminação","95%","401","PLANEJAMENTO E AVALIAÇÃO ANUAL DE DESENVOLVIMENTO PROFISSIONAL","45.8%","111","ELABORAÇÃO E REVISÃO DE NORMAS","29.3%","Confirmado pelo usuário: código 122 (Articulações Políticas). Prazo: 4 anos corrente + 10 anos intermediário = 14 anos. Eliminação.","G01","","Prazo padrão definido pelo CREA-GO: 4+10 anos (total 14 anos). Alinhado com TTDD Conselhos.","","Alta_Confianca"
"Acordo de Cooperação Técnica","Sede - Diretoria","122","ARTICULAÇÕES POLÍTICAS","04 anos a partir do encerramento definitivo","10 anos","Eliminação","93%","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","40.0%","242","AFASTAMENTO TEMPORÁRIO DE RESPONSABILIDADE TÉCNICA","40.0%","Variação terminológica de Acordo de Cooperação. Código 122 (Articulações Políticas). Prazo: 4+10 anos.","G01","","Mesmo código do Acordo de Cooperação. Verificar se há distinção funcional que justifique prazo diferente.","","Alta_Confianca"
"Aditivo Contratual","Sede - Administrativo","122","ARTICULAÇÕES POLÍTICAS","04 anos a partir do encerramento definitivo","10 anos","Eliminação","35%","201","PLANEJAMENTO E AVALIAÇÃO","16.5%","403","CREDENCIAMENTO DE PROFISSIONAIS E INSTITUIÇÕES","16.5%","ATENÇÃO: Aditivo Contratual é atividade-meio (código 018.1 - TTDD Meio 2024). Não possui código equivalente na TTDD de Conselhos. Usar 018.1 conforme mapeamento v3.","G10","","Código 018.1 da TTDD Atividades-Meio 2024. Prazo: Até aprovação do RG pelo Plenário + 10 anos. Eliminação.","","Revisar_Prioritario"
"Baixa de RT Por Pessoa Juridica","Sede - Registro de Pessoa Jurídica","243.1","SOLICITAÇÃO DE BAIXA DE RESPONSABILIDADE TÉCNICA","01 ano","06 anos","Eliminação","67.0%","221.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES DE PESSOA JURÍDICA","61.8%","221.2","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO DE PESSOA JURÍDICA","61.8%","Correspondência semântica e contextual entre 'Baixa de RT Por Pessoa Juridica' e código 243.1","G05","","","","Revisar_Prioritario"
"Cadastro de Instituição de Ensino e Cursos","Sede - Registro de Pessoa Física","203","CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS","Enquanto existir a instituição/curso","05 anos após a extinção","Eliminação","92.5%","212.2","VERIFICAÇÃO DE PARTICIPAÇÃO EM ATIVIDADES DE DESENVOLVIMENTO PROFISSIONAL E EDUCAÇÃO CONTINUADA","69.8%","232","EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL","61.8%","Correspondência semântica e contextual entre 'Cadastro de Instituição de Ensino e Cursos' e código 203","G02","","","","Alta_Confianca"
"Cadastro de Pessoa Juridica","Sede - Registro de Pessoa Jurídica","221.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES DE PESSOA JURÍDICA","Enquanto o registro estiver ativo","15 anos","Eliminação","72.5%","221.2","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO DE PESSOA JURÍDICA","72.5%","403","CREDENCIAMENTO DE PROFISSIONAIS E INSTITUIÇÕES","58.0%","Correspondência semântica e contextual entre 'Cadastro de Pessoa Juridica' e código 221.1","G03","","","","Validar"
"Cadastro de Representante Legal da Pessoa Jurídica","Sede - Registro de Pessoa Jurídica","221.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES DE PESSOA JURÍDICA","Enquanto o registro estiver ativo","15 anos","Eliminação","95%","221.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES DE PESSOA JURÍDICA","80.2%","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","45.1%","Correspondência semântica e contextual entre 'Cadastro de Representante Legal da Pessoa Jurídica' e código 221.2","G03","","CORREÇÃO DPO: 221.1 (Solicitação de Registro PJ). Representante legal integra o processo de registro da PJ.","","Alta_Confianca"
"Cadastro ou Recadastramento de Curso","Sede - Registro de Pessoa Física","203","CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS","Enquanto existir a instituição/curso","05 anos após a extinção","Eliminação","87.7%","212.2","VERIFICAÇÃO DE PARTICIPAÇÃO EM ATIVIDADES DE DESENVOLVIMENTO PROFISSIONAL E EDUCAÇÃO CONTINUADA","75.7%","212.3","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO PROFISSIONAL","60.7%","Correspondência semântica e contextual entre 'Cadastro ou Recadastramento de Curso' e código 203","G02","","","","Alta_Confianca"
"Cadastro ou Recadastramento de Instituição de Ensino","Sede - Registro de Pessoa Física","203","CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS","Enquanto existir a instituição/curso","05 anos após a extinção","Eliminação","92.5%","212.3","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO PROFISSIONAL","54.8%","241","SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA","54.8%","Correspondência semântica e contextual entre 'Cadastro ou Recadastramento de Instituição de Ensino' e código 203","G02","","","","Alta_Confianca"
"Certidão de Registro e Quitação","Sede - Registro de Pessoa Física","232","EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL","01 ano","05 anos","Eliminação","90%","212.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO","76.7%","203","CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS","67.7%","Correspondência semântica e contextual entre 'Certidão de Registro e Quitação' e código 212.3","G07","","CORREÇÃO DPO: 232 (Expedição e Controle de Documentos de Identificação). Certidão é documento de identificação emitido pelo CREA.","","Alta_Confianca"
