"cod_ass";"nome";"ativo";"mostra_sigcam";"mostra_agendamento";"prazo_previsto";"ativo_online";"codigo_rg";"descricao_online";"tipo_requerente";"proc_automatico";"departamento"
"0";"Notificação/Auto de Infração";"S";"S";"N";NULL;;"0";;;"N";
"1";"Alteração de Carga Horária";"S";"S";"N";"03 (três) dias úteis, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar análise pelo Colegiado. ";"S";"811";"Alteração de Carga Horária do Quadro Técnico de Empresa";"P,";"N";"5098"
"2";"Análise de ART";"S";"S";"N";NULL;;"0";;;"N";"11"
"3";"Cadastro de Instituição de Ensino e Cursos";"N";"N";"N";"Prazo: Variável.";;"0";;;"N";"9"
"4";"Certidão de Acervo Técnico";"S";"S";"N";"5 (cinco) dias úteis, após o deferimento do processo, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar análise pelo Colegiado.";"S";"20";"BENEFÍCIOS DA SOLICITAÇÃO DA CAT ON-LINE: Não paga taxa de emissão quando precisar de segunda via da CAT; O profissional digitaliza e envia a documentação, não necessitando comparecer ao CREA-GO para entregar os documentos nem para buscar a CAT; A CAT é impressa acessando o sistema com seu login e senha; O Atestado será selado eletronicamente, sendo possível consultar sua veracidade no site do CREA-GO; A CAT e o atestado selado poderão ser impressos quantas vezes necessitar.";"P,E,";"N";"11"
"5";"Denúncia";"S";"S";"N";NULL;;"0";;;"N";"5003"
"6";"Diversos";"N";"N";"N";NULL;;"0";;;"N";
"7";"Exorbitância de Atribuição";"S";"S";"N";NULL;;"0";;;"N";"11"
"8";"Expedição de Carteira Definitiva";"N";"S";"N";"30 (trinta) dias úteis para inserir na ficha do profissional Egresso de Instituição de Ensino cadastrada no Regional, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar análise pelo Colegiado; e
Prazo variável para egressos de Instituições de Ensino localizadas em outros estados, sendo a Instituição cadastrada ou não em outros regionais.  ";"N";"0";;;"N";"9"
"9";"Expedição de Carteira Provisória";"N";"S";"N";"30 (trinta) dias úteis para egressos de Instituições de Ensino cadastradas no Regional; e Prazo variável para egressos de Instituições de Ensino localizadas em outros estados, sendo a Instituição cadastrada ou não em outros regionais.  ";"N";"0";;;"N";"9"
"10";"Inclusão de Curso";"S";"S";"N";"30 (trinta) dias úteis para inserir na ficha do profissional egresso de Instituição de Ensino cadastrada no Regional, podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar análise pelo Colegiado; e
Prazo variável para egressos de Instituições de Ensino localizadas em outros estados, sendo a Instituição cadastradas ou não em outros regionais. ";"S";"802";"Incluir novo curso em sua Ficha Profissional";"P,";"N";"9"
