"Codigo","Descricao","Prazo_Corrente","Prazo_Intermediario","Destinacao","Palavras_Chave"
"100","NORMATIZAÇÃO. REGULAMENTAÇÃO. ORIENTAÇÃO TÉCNICA.","","","(CLASSE - ver subgrupos)","normatização;regulamentação;orientação técnica;normas"
"101","CONSULTAS SOBRE NORMAS E REGULAMENTOS","01 ano","05 anos","Eliminação","consultas;normas;regulamentos;orientação;dúvida"
"110","FORMULAÇÃO DE NORMAS E REGULAMENTOS FINALÍSTICOS","","","(SUBCLASSE - ver grupos 111 e 112)","formulação;normas;regulamentos"
"111","ELABORAÇÃO E REVISÃO DE NORMAS","Até a finalização/aprovação da norma","10 anos","Eliminação","elaboração;revisão;normas;regulamento;atas;reunião"
"112","APROVAÇÃO E HOMOLOGAÇÃO DE NORMAS","01 ano","Enquanto vigora","Guarda Permanente","aprovação;homologação;normas;vigência;resolução"
"120","ACOMPANHAMENTO DE PROPOSIÇÕES LEGAIS, INFRALEGAIS E POLÍTICAS","","","(SUBCLASSE - ver grupos 121 e 122)","proposições;legais;infralegais;políticas"
"121","MONITORAMENTO DAS PROPOSIÇÕES LEGAIS E INFRALEGAIS","Enquanto tramita","04 anos","Eliminação","monitoramento;proposições;legais;infralegais;tramitação"
"122","ARTICULAÇÕES POLÍTICAS","04 anos","10 anos","Eliminação","articulações;políticas;acordo;cooperação;convênio;parceria;termo;protocolo"
"200","HABILITAÇÃO E GESTÃO DO EXERCÍCIO PROFISSIONAL","","","(CLASSE - ver subgrupos)","habilitação;gestão;exercício;profissional"
"201","PLANEJAMENTO E AVALIAÇÃO","04 anos","10 anos","Guarda Permanente","planejamento;avaliação;habilitação"
"202","AUDITORIA DA HABILITAÇÃO","02 anos","10 anos","Guarda Permanente","auditoria;habilitação;verificação"
"203","CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS","Enquanto existir a instituição/curso","05 anos após a extinção","Eliminação","cadastramento;instituição;ensino;cursos;escola;faculdade;recadastramento"
"210","HABILITAÇÃO DO PROFISSIONAL","","","(SUBCLASSE - ver grupos 211, 212, 212.1, 212.2, 212.3)","habilitação;profissional;registro"
"211","EXAME DE EQUALIZAÇÃO E HABILITAÇÃO","","","(GRUPO - ver 211.1, 211.2, 211.3)","exame;equalização;habilitação"
"211.1","PLANEJAMENTO DO EXAME","02 anos","05 anos","Guarda Permanente","planejamento;exame;equalização;habilitação"
"211.2","APLICAÇÃO DE PROVA","01 ano","04 anos","Eliminação","aplicação;prova;exame;equalização"
"211.3","RESULTADOS E RECURSOS DO EXAME","01 ano","50 anos","Guarda Permanente","resultados;recursos;exame;habilitação;recurso"
"212","GERENCIAMENTO DO REGISTRO PROFISSIONAL","","","(GRUPO - ver 212.1, 212.2, 212.3)","gerenciamento;registro;profissional"
"212.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO","Enquanto o registro estiver ativo","15 anos","Eliminação","solicitação;registro;alteração;cadastral;extensão;atribuição;profissional;inscrição;PF;pessoa física"
"212.2","VERIFICAÇÃO DE PARTICIPAÇÃO EM ATIVIDADES DE DESENVOLVIMENTO PROFISSIONAL E EDUCAÇÃO CONTINUADA","02 anos","10 anos","Eliminação","verificação;participação;desenvolvimento;educação;continuada;curso"
"212.3","CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO PROFISSIONAL","Até a conclusão do processo","15 anos","Eliminação","cancelamento;temporário;definitivo;registro;profissional;suspensão"
"220","HABILITAÇÃO DE PESSOA JURÍDICA","","","(SUBCLASSE - ver grupos 221, 221.1, 221.2)","habilitação;pessoa jurídica;empresa;PJ"
"221","GERENCIAMENTO DE REGISTRO DE PESSOA JURÍDICA","","","(GRUPO - ver 221.1 e 221.2)","gerenciamento;registro;pessoa jurídica;empresa;PJ"
"221.1","SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES DE PESSOA JURÍDICA","Enquanto o registro estiver ativo","15 anos","Eliminação","solicitação;registro;alterações;cadastrais;atividades;pessoa jurídica;empresa;visto;PJ"
